Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Ameaça_Ofensiva,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Matheus Pereira,Cruzeiro,Cruzeiro,"AMF, CF, RAMF",AMF,9,27,7000000,2026-06-30,10,1025,Brazil,"Brazil, Portugal",left,175,74,yes,1.4053,9.217476,4.826892,3.60036,2.81,1.580625,0.29,0.964421,0.1102661596958175,0.19,2.2,4.828668,0.616044,0.7886240000000001,2.02,0.7,2.63246,MG,Testing,2024,1.0,1.0,1.0
1,Neto,Villa Nova,Villa Nova,"AMF, RCMF, RDMF",AMF,9,21,500000,2024-12-31,6,504,Brazil,Brazil,right,178,75,yes,1.60875,4.822272,2.674893,4.285,1.07,1.425508,0.17,1.251872,0.05592105263157895,0.01,0.71,3.395466,0.0,0.0,0.18,0.0,0.178164,MG,Testing,2024,0.1991743547439923,0.2072221513131365,0.2031982530285644
2,David Braga,Athletic Club,Athletic Club,"AMF, CF",AMF,9,22,0,,10,645,Brazil,Brazil,left,186,89,no,0.556611,4.3245,2.932306,4.187835000000001,1.26,1.535305,0.04,0.28,0.07142857142857142,0.07,0.56,2.372189,0.14,0.42,0.56,0.42,0.7,MG,Testing,2024,0.0,0.0,0.0
3,Robert Santos,Athletic Club,Athletic Club,"AMF, CF",AMF,9,20,0,,7,622,Brazil,Brazil,unknown,0,0,no,2.606797,5.64324,4.773228,3.906,2.17,2.31714,0.18,0.86658,0.06923076923076922,0.17,1.16,2.747225,0.435,0.725,0.87,0.43,1.303029,MG,Testing,2024,0.7780144211352453,0.6727558439067478,0.7253851325209966
4,Bruninho,Democrata GV,Democrata GV,AMF,AMF,9,23,0,,11,1011,Brazil,Brazil,,0,0,no,1.06672,4.5406,3.116542,2.849516,3.03,0.98,0.38,1.246416,0.1376811594202899,0.03,0.62,2.138877,0.09,0.0,0.53,0.09,0.4458690000000001,MG,Testing,2024,0.2875902397667235,0.2697097530599664,0.2786499964133449
0,David,Vasco da Gama,Vasco da Gama,"AMF, RW, CF",AMF,9,28,1700000,2025-12-31,11,650,Brazil,Brazil,right,180,71,yes,0.4125,3.043195,2.214723,2.76963,3.6,1.524258,0.19,0.5532779999999999,0.1144578313253012,0.13,0.83,1.521722,0.0,0.0,1.25,0.55,1.108516,RJ,Testing,2024,0.0,0.0,0.0
1,Nenê Bonilha,Portuguesa RJ,Portuguesa RJ,"AMF, CF, LCMF",AMF,9,32,200000,,10,682,Brazil,Brazil,right,175,69,no,0.7375,4.557836,2.503548,2.35458,1.91,0.294271,0.22,0.882916,0.1067961165048544,0.08,0.88,4.114562,0.0,0.146652,0.88,0.74,0.736593,RJ,Testing,2024,1.0,0.9572589825785512,0.9964978264880777
2,Yago Ferreira,Nova Iguaçu,Nova Iguaçu,"AMF, CF",AMF,9,22,0,,11,893,Brazil,Brazil,,0,0,no,0.69,2.52369,2.52588,3.43875,2.18,2.065852,0.22,0.9181920000000001,0.08333333333333333,0.11,1.61,1.836179,0.22856,0.345,1.38,0.57,1.144536,RJ,Testing,2024,0.9641377337233644,1.0,1.0
0,F. Cristaldo,Grêmio,Grêmio,"AMF, LCMF, CF",AMF,9,27,7000000,2026-12-31,13,817,Argentina,Argentina,right,175,69,no,1.985217,8.524344,5.836305000000001,2.803044,2.8,0.583275,0.34,1.165,0.1459227467811159,0.14,1.63,4.319091,0.233345,0.468548,2.57,0.7,2.804513,RS,Testing,2024,1.0,1.0,1.0
1,Jean Carlos,Juventude,Juventude,"AMF, CF, LCMF",AMF,9,32,900000,2024-12-31,15,1210,Brazil,Brazil,left,178,69,no,1.9344,6.2478,3.496304,1.337393,1.26,0.522345,0.11,0.7420829999999999,0.07801418439716312,0.25,2.01,3.865730000000001,0.149985,0.446622,0.52,0.6,1.48832,RS,Testing,2024,0.2859889304718565,0.2952080499780004,0.2905984902249285
2,Bruno Henrique,Internacional,Internacional,"AMF, RAMF, LCMF",AMF,9,34,700000,,13,775,Brazil,"Brazil, Italy",right,179,75,no,2.1692,11.60082,5.863,1.912653,2.04,0.253308,0.11,0.255051,0.0718954248366013,0.3,1.27,8.032755000000002,0.512,0.765,1.53,0.76,2.036974,RS,Testing,2024,0.6542742475415356,0.7305758843862687,0.6924250659639022
3,Tomas Bastos,Caxias,Caxias,"AMF, RW",AMF,9,31,400000,,13,941,Brazil,Brazil,left,175,79,no,1.03,6.089424,4.440453,1.753808,1.03,0.308592,0.21,0.825356,0.1071428571428571,0.13,1.34,3.820806,0.103323,0.104,0.52,0.1,0.723354,RS,Testing,2024,0.5003645914696653,0.3925622927989194,0.4464634421342923
4,Rafael Mineiro,Santa Cruz RS,Santa Cruz RS,"AMF, RW, CF",AMF,9,32,0,,10,612,Brazil,Brazil,right,183,71,no,0.58825,5.591018,2.938121999999999,5.590035,1.32,2.942916,0.16,0.147407,0.07239819004524888,0.15,1.47,2.94375,0.1475,0.293304,0.44,0.44,0.5875,RS,Testing,2024,0.0,0.0,0.0
5,Guilherme Garré,Novo Hamburgo,Novo Hamburgo,"AMF, CF",AMF,9,30,0,,11,880,Brazil,Brazil,right,174,71,no,1.34,5.80512,3.68097,3.4608,1.0,1.116756,0.3,0.4466219999999999,0.1492537313432836,0.23,1.45,3.461488,0.224,0.335625,0.89,0.22,1.451622,RS,Testing,2024,0.221568935798563,0.2668761995219644,0.2442225676602637
0,Raphael Veiga,Palmeiras,Palmeiras,"AMF, CF",AMF,9,28,14000000,2026-12-31,11,898,Brazil,Brazil,left,178,73,no,1.906119,7.013952000000001,4.1082,2.807858,1.4,0.9000199999999999,0.37,1.2048,0.1474103585657371,0.29,2.61,3.9078,0.1,0.2,0.8,0.5,1.203153,SP,Testing,2024,1.0,1.0,1.0
1,Lucas Moura,São Paulo,São Paulo,"AMF, CF, LAMF",AMF,9,31,9000000,2026-12-31,7,573,Brazil,Brazil,right,174,70,no,0.785,5.658198000000001,3.92876,8.01308,1.88,4.867848,0.31,0.470832,0.1519607843137255,0.2,0.94,2.830972,0.0,0.1575,1.57,0.63,1.572348,SP,Testing,2024,0.4220049097839086,0.5286941330519258,0.4753495214179171
2,Luciano,São Paulo,São Paulo,"AMF, RAMF, CF",AMF,9,30,3000000,2026-12-31,13,865,Brazil,Brazil,left,181,77,no,1.771798,3.432,1.76471,2.912436,2.91,1.142757,0.29,0.9382019999999999,0.1070110701107011,0.03,0.83,1.77075,0.103323,0.104,0.31,0.1,0.312878,SP,Testing,2024,0.0,0.0,0.0
3,Thonny Anderson,Ituano,Ituano,"AMF, CF, RWF",AMF,9,26,1500000,2024-12-31,9,526,Brazil,Brazil,right,184,81,yes,0.5425,4.526352,3.443895,6.159216,1.63,3.076524,0.19,0.9044550000000001,0.09547738693467336,0.04,0.91,3.624000000000001,0.18,0.363297,0.72,0.36,0.723095,SP,Testing,2024,0.6582487240688093,0.4911076234412074,0.5746781737550083
4,J. Cazares,Santos,Santos,"AMF, CF",AMF,9,31,1000000,,11,576,Ecuador,Ecuador,right,171,63,no,1.878,7.188,2.9716,2.342076,1.88,0.78,0.14,0.469953,0.09929078014184399,0.22,1.72,2.969614,0.0,0.47,1.41,0.16,1.248764,SP,Testing,2024,0.1478948598725547,0.2560573218428855,0.2019760908577201
5,Luan Dias,Água Santa,Água Santa,"AMF, CF",AMF,9,26,750000,2025-06-30,11,960,Brazil,Brazil,left,181,74,no,1.0296,5.534419000000001,2.999126,4.689544000000001,0.84,2.53125,0.05,0.280881,0.04854368932038835,0.12,1.22,3.189912,0.469212,0.46875,0.84,0.38,0.749558,SP,Testing,2024,0.03821194812043927,0.04415116383604933,0.0411815559782443
6,Chico,Mirassol,Mirassol,"AMF, CF, LCMF",AMF,9,32,600000,,9,683,Brazil,"Brazil, Korea Republic",right,175,69,no,0.7904960000000001,6.71925,3.690006,2.766684,2.11,1.45,0.06,0.396,0.0909090909090909,0.29,2.11,3.296079,0.395,0.661164,1.19,0.53,1.711535,SP,Testing,2024,0.4100720015478287,0.5418142437871475,0.4759431226674881
7,Eduardo Person,Ituano,Ituano,"AMF, LAMF",AMF,9,27,100000,,11,888,Brazil,Brazil,right,174,72,no,1.308,7.288968,3.590649,4.677675000000001,1.31,2.39427,0.05,0.32625,0.0574712643678161,0.15,1.09,3.3728,0.436623,0.325736,0.44,0.44,0.6542530000000001,SP,Testing,2024,0.2848327873515598,0.2839968388398596,0.2844148130957097
8,Endrick,Palmeiras,Palmeiras,"AMF, CF, RWB",AMF,9,17,0,,8,648,Brazil,Brazil,left,171,64,no,0.6945,5.413200000000001,4.584365999999999,6.807548,2.08,2.916303,0.2,0.9712500000000002,0.09009009009009009,0.14,1.67,3.0555,0.554258,0.69375,1.53,1.11,1.802988,SP,Testing,2024,0.9705476637210272,0.9745729650752538,0.9725603143981404
